Instance             V      E       lb  ub   POP-S     POPH-SAT:lb  ub    POPH-S      ASS-S:lb  ub   ASS-S      c:lb  ub  POP-I      POPH-ILP:lb  ub   POPH-I      ASS-ILP:lb  ub   ASS-I      EC  CDCL  CLICOL
1-FullIns_3          30     100     4           4    0.0     4            4    0.0     4           4    0.0     4           4   0.0     4            4    0.0     4           4    0.0     0.0     0        0
1-FullIns_4          93     593     5           5    0.1     5            5    0.1     5           5    0.1     5           5   0.1     5            5    0.2     5           5    0.1     3600.1  0        0
1-FullIns_5          282    3247    6           6    0.5     6            6    0.6     6           6    0.5     6           6   361.2   6            6    242.9   6           6    29.4    3600.5  0        0
1-Insertions_4       67     232     5           5    1.4     5            5    1.2     5           5    1.0     5           5   71.7    5            5    480.4   5           5    106.9   3600.1  3600.0   2
1-Insertions_5       202    1227    4           6    3600.0  4            6    3600.0  4           6    3600.0  4           6   3600.0  4            6    3600.0  4           6    3600.0  3602.6  3600.0   3600.0
1-Insertions_6       607    6337    4           7    3600.0  4            7    3600.0  4           7    3600.0  4           7   3600.1  4            7    3600.0  4           7    3600.0  3600.0  3600.0   3600.0
2-FullIns_3          52     201     5           5    0.0     5            5    0.0     5           5    0.0     5           5   0.0     5            5    0.0     5           5    0.0     0.0     0        0
2-FullIns_4          212    1621    6           6    0.0     6            6    0.0     6           6    0.1     6           6   1.8     6            6    0.4     6           6    0.2     3600.1  0        0
2-FullIns_5          852    12201   7           7    0.7     7            7    0.6     7           7    0.8     6           7   3600.0  7            7    1899.5  7           7    983.6   3602.5  20       7
2-Insertions_3       37     72      4           4    0.0     4            4    0.0     4           4    0.0     4           4   0.1     4            4    0.1     4           4    0.1     220.2   0        0
2-Insertions_4       149    541     3           5    3600.0  3            5    3600.0  3           5    3600.0  4           5   3600.0  4            5    3600.0  4           5    3600.0  3601.5  3600.0   3600.0
2-Insertions_5       597    3936    3           6    3600.0  3            6    3600.0  3           6    3600.0  3           6   3600.1  3            6    3600.0  3           6    3600.0  3600.0  3600.0   3600.0
3-FullIns_3          80     346     6           6    0.1     6            6    0.1     6           6    0.1     6           6   0.0     6            6    0.0     6           6    0.0     0.0     0        0
3-FullIns_4          405    3524    7           7    0.1     7            7    0.1     7           7    0.1     7           7   7.6     7            7    1.4     7           7    0.4     3600.2  0        1
3-FullIns_5          2030   33751   8           8    4.1     8            8    5.9     8           8    5.8     7           8   3600.0  7            8    3600.0  7           8    3600.0  3602.9  0        93
3-Insertions_3       56     110     4           4    0.0     4            4    0.0     4           4    0.0     4           4   0.8     4            4    1.1     4           4    1.4     3600.1  1        0
3-Insertions_4       281    1046    3           5    3600.0  3            5    3600.0  3           5    3600.0  3           5   3600.0  4            5    3600.0  4           5    3600.0  3613.8  3600.0   3600.0
3-Insertions_5       1406   9695    3           6    3600.0  3            6    3600.0  3           6    3600.0  3           6   3600.1  3            6    3600.0  3           6    3600.0  3600.0  3600.0   3600.0
4-FullIns_3          114    541     7           7    0.1     7            7    0.1     7           7    0.0     7           7   0.0     7            7    0.0     7           7    0.0     0.0     0        0
4-FullIns_4          690    6650    8           8    0.4     8            8    0.5     8           8    0.6     8           8   60.1    8            8    0.6     8           8    0.5     3600.7  0        2
4-FullIns_5          4146   77305   9           9    63.8    9            9    93.3    9           9    75.6    8           9   3600.0  8            9    3600.0  8           9    3600.0  3629.8  730      2137
4-Insertions_3       79     156     4           4    0.1     4            4    0.1     4           4    0.2     4           4   17.5    4            4    15.7    4           4    48.3    3600.2  417      0
4-Insertions_4       475    1795    3           5    3600.0  3            5    3600.0  3           5    3600.0  3           5   3600.0  3            5    3600.0  3           5    3600.0  3600.0  3600.0   3600.0
5-FullIns_3          154    792     8           8    0.2     8            8    0.1     8           8    0.2     8           8   0.0     8            8    0.0     8           8    0.0     0.0     0        0
5-FullIns_4          1085   11395   9           9    1.1     9            9    1.4     9           9    3.1     9           9   31.8    9            9    0.9     9           9    0.9     3600.3  0        13
abb313GPIA           1555   53356   9           9    0.5     9            9    0.2     9           9    0.2     8           9   3600.1  8            10   3600.0  8           9    3600.0  3600.0  3600.0   3600.0
anna                 138    493     11          11   0.0     11           11   0.0     11          11   0.0     11          11  0.0     11           11   0.0     11          11   0.0     0.0     0        0
ash331GPIA           662    4181    4           4    0.1     4            4    0.1     4           4    0.1     4           4   6.3     4            4    16.0    4           4    28.6    3611.7  0        0
ash608GPIA           1216   7844    4           4    0.1     4            4    0.1     4           4    0.0     4           4   10.7    4            4    34.1    4           4    74.3    3600.0  4        1
ash958GPIA           1916   12506   4           4    0.1     4            4    0.1     4           4    0.1     4           4   57.5    4            4    217.9   4           4    872.6   3600.0  29       2
david                87     406     11          11   0.1     11           11   0.0     11          11   0.0     11          11  0.0     11           11   0.0     11          11   0.0     0.0     0        0
DSJC1000.1           1000   49629   6           27   3600.0  6            27   3600.0  6           27   3600.0  6           0   3600.0  6            0    3600.0  6           0    3600.0  3600.0  3600.0   3600.0
DSJC1000.5           1000   249826  16          115  3600.0  16           115  3600.0  16          115  3600.0  14          0   3603.0  14           0    3600.1  14          0    3600.8  3600.0  3600.0   3600.0
DSJC1000.9           1000   449449  60          299  3600.0  59           299  3600.0  59          299  3600.0  -           -   -       -            -    -       -           -    -       3600.0  3600.0   3600.0
DSJC125.1            125    736     5           5    0.0     5            5    0.1     5           5    0.1     5           5   1.4     5            5    2.5     5           5    2.1     102.7   0        0
DSJC125.5            125    3891    13          22   3600.0  13           22   3600.0  13          22   3600.0  11          20  3600.0  13           0    3600.0  13          19   3600.0  3600.5  3600.0   3600.0
DSJC125.9            125    6961    38          51   3600.0  38           51   3600.0  38          51   3600.0  35          47  3600.0  41           44   3600.0  42          44   3600.0  6.2     3600.0   3600.0
DSJC250.1            250    3218    5           10   3600.0  6            10   3600.0  6           10   3600.0  5           10  3600.0  5            10   3600.0  5           10   3600.0  3600.0  3600.0   3600.0
